word,size
returned,20
ride,20
rights,20
road,22
rock,21
role,23
rolling,20
room,23
run,24
running,21
safety,20
scandal,20
scene,27
scheduled,21
school,20
season,25
seat,20
second,20
security,25
seen,28
series,20
service,20
set,33
sex,28
sexual,31
shared,20
shirt,21
shoot,20
shooting,25
short,20
shortly,20
shot,33
shots,21
showed,27
showing,23
shows,25
shut,21
sign,20
signed,22
similar,20
singer,28
single,20
sister,20
site,20
sitting,20
situation,22
social,26
sold,21
son,28
song,22
soon,22
sounds,20
source,21
special,20
split,21
spoke,24
sports,20
spotted,21
spousal,20
stage,24
star,43
stars,21
start,21
statement,25
stay,24
stop,24
story,41
straight,21
struck,20
studio,20
stuff,20
stunt,20
sue,20
sued,21
suffered,23
suicide,22
suing,25
suit,28
super,24
superstar,20
support,25
supposed,20
sure,26
surgery,20
swimming,20
takes,20
taking,27
talk,22
talked,23
talking,23
team,29
telling,27
thing,30
things,27
thought,24
threatening,20
threats,20
threw,20
tight,20
times,21
today,20
totally,21
tour,31
town,22
track,21
transgender,22
treatment,20
trial,22
trip,20
trying,29
turn,20
turned,24
tweeted,20
twins,21
twitter,23
unclear,26
upcoming,20
use,22
used,25
using,21
vehicle,20
version,21
victim,23
video,49
violence,23
violent,20
visit,20
walk,21
walked,22
wanted,25
war,20
watch,21
water,22
way,47
wearing,22
wedding,20
weekend,31
weeks,25
wife,32
win,20
woman,38
women,29
word,28
words,22
work,29
working,22
world,28
worth,21
wrong,23
wrote,20
yacht,20
years,46
young,22
