,Title,Budget,DomesticTotalGross,Director,Rating,Runtime,ReleaseDate,month
78,Walking with Dinosaurs,80000000.0,36076121,Barry CookNeil Nightingale,PG,87,2013-12-20,12
79,Carrie,30000000.0,35266619,Kimberly Peirce,R,92,2013-10-18,10
80,Texas Chainsaw 3D,74747191.01123595,34341945,John Luessenhop,R,92,2013-01-04,1
81,R.I.P.D.,130000000.0,33618855,Robert Schwentke,PG-13,96,2013-07-19,7
82,Blue Jasmine,74747191.01123595,33405481,Woody Allen,PG-13,98,2013-07-26,7
83,Side Effects,74747191.01123595,32172757,Steven Soderbergh,R,106,2013-02-08,2
84,Scary Movie 5,20000000.0,32015787,Malcolm D. Lee,PG-13,85,2013-04-12,4
85,The Mortal Instruments: City of Bones,60000000.0,31165421,Harald Zwart,PG-13,120,2013-08-21,8
86,Delivery Man,26000000.0,30664106,Ken Scott,PG-13,105,2013-11-22,11
87,Grudge Match,40000000.0,29807260,Peter Segal,PG-13,113,2013-12-25,12
88,One Direction: This is Us,10000000.0,28873374,Morgan Spurlock,PG,92,2013-08-30,8
89,Kick-Ass 2,28000000.0,28795985,Jeff Wadlow,R,103,2013-08-16,8
90,Dallas Buyers Club,5000000.0,27298285,Jean-Marc Vallee,R,117,2013-11-01,11
91,Rush,38000000.0,26947624,Ron Howard,R,123,2013-09-20,9
92,The Host,40000000.0,26627201,Andrew Niccol,PG-13,125,2013-03-29,3
93,The World's End,20000000.0,26004851,Edgar Wright,R,109,2013-08-23,8
94,21 and Over,13000000.0,25682380,Jon LucasScott Moore,R,93,2013-03-01,3
95,Her,23000000.0,25568251,Spike Jonze,R,120,2013-12-18,12
